31    10 
61    12 
100    0 
130    2 
172    0 
202    3 
301    0 
331    3 
361    6 
502    0 
631    0 
685    0 
733    3 
763    9 
793    14 
829    20 
859    23 
910    0 
940    3 
970    6 
1000    9 
1033    11 
1153    0 
1324    0 
1402    0 
1441    0 
1471    7 
1504    9 
1639    0 
1741    0 
1918    0 
1948    9 
1978    18 
2008    21 
2038    24 
2068    27 
2098    29 
2128    32 
2158    34 
2191    36 
2221    39 
2260    42 
2290    45 
2320    46 
2350    49 
2380    53 
2416    55 
2449    58 
2479    63 
2509    69 
2539    72 
2569    50 
2602    54 
2635    57 
2668    61 
2698    63 
2728    66 
2758    73 
2788    65 
2818    68 
2848    72 
2881    74 
2911    38 
2947    37 
2989    0 
3100    0 
3130    4 
3163    7 
3193    12 
3244    0 
3394    0 
3484    0 
3592    0 
3622    5 
3724    0 
3838    0 
3868    0 
3901    3 
3931    6 
3961    9 
4066    0 
4183    0 
4213    3 
4270    0 
4300    1 
4384    0 
4414    4 
4447    7 
4477    8 
4507    10 
4537    13 
4567    7 
4597    9 
4627    12 
4657    15 
4687    18 
4717    8 
4750    7 
4780    9 
4879    0 
5011    0 
5041    3 
5134    0 
5233    0 
5338    0 
5368    6 
5398    9 
5428    2 
5458    5 
5488    8 
5587    0 
5617    3 
5659    6 
5719    0 
5839    0 
5995    0 
6025    3 
6055    6 
6109    0 
6166    0 
6199    5 
6229    9 
