31    10 
130    0 
241    0 
295    0 
337    3 
370    9 
499    0 
610    0 
640    3 
670    6 
700    9 
736    11 
766    14 
799    10 
829    13 
874    17 
904    2 
973    0 
1003    7 
1033    9 
1063    12 
1099    7 
1132    9 
1162    12 
1195    16 
1261    0 
1366    0 
1462    0 
1498    6 
1528    9 
1687    0 
1717    9 
1813    0 
1864    0 
1900    0 
1930    5 
2053    0 
2185    0 
2308    0 
2338    3 
2428    0 
2458    3 
2515    0 
2545    3 
2695    0 
2800    0 
2926    0 
2977    0 
3010    3 
3046    7 
3076    9 
3106    14 
3136    18 
3169    21 
3199    24 
3232    5 
3373    0 
3421    0 
3454    7 
3484    9 
3514    18 
3544    21 
3646    0 
3757    0 
3901    0 
3955    0 
4006    6 
4036    9 
4066    18 
4105    20 
4138    1 
4168    5 
4198    8 
4228    10 
4276    13 
4306    16 
4369    0 
4507    0 
4537    4 
4603    7 
4633    9 
4666    18 
4696    26 
4744    2 
4852    0 
5017    0 
5047    3 
5212    0 
5251    6 
5299    9 
5341    14 
5374    5 
5404    9 
5434    11 
5488    14 
5530    9 
5560    15 
5620    0 
5707    0 
5749    6 
5782    9 
5812    15 
5929    0 
6028    0 
6061    3 
6091    10 
6121    14 
6154    17 
6232    0 
